Datetime,Abel_LMP,Abel_LMP_DA,Adams_LMP,Adams_LMP_DA,Alder_LMP,Alder_LMP_DA,Arne_LMP,Arne_LMP_DA,Arthur_LMP,Arthur_LMP_DA,Asser_LMP,Asser_LMP_DA,Astor_LMP,Astor_LMP_DA,Austen_LMP,Austen_LMP_DA,Bach_LMP,Bach_LMP_DA,Bacon_LMP,Bacon_LMP_DA,Baker_LMP,Baker_LMP_DA,Barlow_LMP,Barlow_LMP_DA,Barton_LMP,Barton_LMP_DA,Basov_LMP,Basov_LMP_DA,Bayle_LMP,Bayle_LMP_DA,Behring_LMP,Behring_LMP_DA,Bloch_LMP,Bloch_LMP_DA,Cabell_LMP,Cabell_LMP_DA,Cabot_LMP,Cabot_LMP_DA,Carew_LMP,Carew_LMP_DA,Cecil_LMP,Cecil_LMP_DA,Chase_LMP,Chase_LMP_DA,Chifa_LMP,Chifa_LMP_DA,Clark_LMP,Clark_LMP_DA,Cobb_LMP,Cobb_LMP_DA,Cole_LMP,Cole_LMP_DA,Comte_LMP,Comte_LMP_DA,Clive_LMP,Clive_LMP_DA,Chain_LMP,Chain_LMP_DA,Caruso_LMP,Caruso_LMP_DA,Curie_LMP,Curie_LMP_DA,Caxton_LMP,Caxton_LMP_DA,Clay_LMP,Clay_LMP_DA,Agricola_LMP,Agricola_LMP_DA,Adler_LMP,Adler_LMP_DA,Attar_LMP,Attar_LMP_DA,Carrel_LMP,Carrel_LMP_DA,Carter_LMP,Carter_LMP_DA,Chuhsi_LMP,Chuhsi_LMP_DA,Caesar_LMP,Caesar_LMP_DA,Aubrey_LMP,Aubrey_LMP_DA,Bell_LMP,Bell_LMP_DA
1/1/2020 0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
1/1/2020 1:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
1/1/2020 2:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
1/1/2020 3:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
1/1/2020 4:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
1/1/2020 5:00,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019
1/1/2020 6:00,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714,0.0,71.116714
1/1/2020 7:00,18.466951,0.0,18.463561,0.0,18.236306,0.0,18.355785,0.0,18.789784,0.0,18.721998,0.0,18.879586,0.0,18.425343,0.0,17.8965,0.0,17.892743,0.0,17.859709,0.0,17.783102,0.0,18.065832,0.0,17.995868,0.0,18.088047,0.0,18.081059,0.0,17.641822,0.0,17.703737,0.0,18.521776,0.0,25.426633,0.0,22.297779,0.0,15.713285,0.0,17.226115,0.0,16.633189,0.0,16.337748,0.0,16.525566,0.0,19.954115,0.0,19.398411,-0.0,20.427535,-0.0,22.110491,-0.0,9.760416,-0.0,23.182103,-0.0,18.388041,-0.0,18.453918,-0.0,18.573476,-0.0,18.595645,-0.0,25.426633,-0.0,28.742776,-0.0,16.815579,-0.0,0.0,-0.0,18.888125,-0.0,18.086764,-0.0
1/1/2020 8:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1/1/2020 9:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
