Datetime,Abel_LMP,Abel_LMP DA,Adams_LMP,Adams_LMP DA,Alder_LMP,Alder_LMP DA,Arne_LMP,Arne_LMP DA,Arthur_LMP,Arthur_LMP DA,Asser_LMP,Asser_LMP DA,Astor_LMP,Astor_LMP DA,Austen_LMP,Austen_LMP DA,Bach_LMP,Bach_LMP DA,Bacon_LMP,Bacon_LMP DA,Baker_LMP,Baker_LMP DA,Barlow_LMP,Barlow_LMP DA,Barton_LMP,Barton_LMP DA,Basov_LMP,Basov_LMP DA,Bayle_LMP,Bayle_LMP DA,Behring_LMP,Behring_LMP DA,Bloch_LMP,Bloch_LMP DA,Cabell_LMP,Cabell_LMP DA,Cabot_LMP,Cabot_LMP DA,Carew_LMP,Carew_LMP DA,Cecil_LMP,Cecil_LMP DA,Chase_LMP,Chase_LMP DA,Chifa_LMP,Chifa_LMP DA,Clark_LMP,Clark_LMP DA,Cobb_LMP,Cobb_LMP DA,Cole_LMP,Cole_LMP DA,Comte_LMP,Comte_LMP DA,Aubrey_LMP,Aubrey_LMP DA,Bell_LMP,Bell_LMP DA,Clive_LMP,Clive_LMP DA,Chain_LMP,Chain_LMP DA,Caruso_LMP,Caruso_LMP DA,Curie_LMP,Curie_LMP DA,Caxton_LMP,Caxton_LMP DA,Clay_LMP,Clay_LMP DA,Agricola_LMP,Agricola_LMP DA,Adler_LMP,Adler_LMP DA,Attar_LMP,Attar_LMP DA,Carrel_LMP,Carrel_LMP DA,Carter_LMP,Carter_LMP DA,Chuhsi_LMP,Chuhsi_LMP DA,Caesar_LMP,Caesar_LMP DA
2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 05:00:00,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943,0.0,19.68943
2020-01-01 06:00:00,19.743171,22.516066,19.739547,22.516066,19.496587,22.516066,19.624323,22.516066,20.088314,22.516066,20.015844,22.516066,20.184323,22.516066,19.698688,22.516066,19.133298,22.516066,19.12928,22.516066,19.093964,22.516066,19.012063,22.516066,19.314331,22.516066,19.239532,22.516066,19.338082,22.516066,19.33061,22.516066,18.861019,22.516066,18.927212,22.516066,19.801785,22.516066,27.183826,22.516066,23.838742,22.516066,16.799204,22.516066,18.416583,22.516066,17.782681,22.516066,17.466822,22.516066,17.66762,22.516066,21.33311,22.516066,20.193452,22.516066,19.33671,22.516066,20.739003,22.516066,21.839248,22.516066,23.63851,22.516066,10.434942,22.516066,24.784179,22.516066,19.658808,22.516066,19.729238,22.516066,19.857058,22.516066,19.880759,22.516066,27.183826,22.516066,30.729141,22.516066,17.977675,22.516066,-0.0,22.516066
2020-01-01 07:00:00,19.925055,19.034775,19.921397,19.034775,19.676198,19.034775,19.805111,19.034775,20.273377,19.034775,20.200239,19.034775,20.37027,19.034775,19.880161,19.034775,19.309562,19.034775,19.305508,19.034775,19.269867,19.034775,19.187211,19.034775,19.492264,19.034775,19.416776,19.034775,19.516233,19.034775,19.508693,19.034775,19.034775,19.034775,19.101578,19.034775,19.984208,19.034775,27.434255,19.034775,24.058355,19.034775,16.953966,19.034775,18.586245,19.034775,17.946503,19.034775,17.627735,19.034775,17.830382,19.034775,21.529641,19.034775,20.379483,19.034775,19.514849,19.034775,20.93006,19.034775,22.040441,19.034775,23.856279,19.034775,10.531074,19.034775,25.012502,19.034775,19.839914,19.034775,19.910993,19.034775,20.03999,19.034775,20.06391,19.034775,27.434255,19.034775,31.012232,19.034775,18.143294,19.034775,0.0,19.034775
2020-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 10:00:00,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019,0.0,18.861019
2020-01-01 11:00:00,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296,0.0,19.430296
